Area_name,STCOU,POP010130F,POP010130D,POP010130N1,POP010130N2,POP010140F,POP010140D,POP010140N1,POP010140N2,POP010150F,POP010150D,POP010150N1,POP010150N2,POP010160F,POP010160D,POP010160N1,POP010160N2,POP010170F,POP010170D,POP010170N1,POP010170N2,POP010180F,POP010180D,POP010180N1,POP010180N2,POP010190F,POP010190D,POP010190N1,POP010190N2,POP010200F,POP010200D,POP010200N1,POP010200N2,POP010210F,POP010210D,POP010210N1,POP010210N2,POP020170F,POP020170D,POP020170N1,POP020170N2
UNITED STATES,00000,0,123202624,0000,0000,0,132164569,0000,0000,0,151325798,0000,0000,0,179323175,0000,0000,0,203211926,0000,0000,0,226545805,0000,0000,0,248709873,0000,0000,0,281421906,0000,0000,0,308745538,0000,0000,0,203302020,0000,0000
ALABAMA,01000,0,2646248,0000,0000,0,2832961,0000,0000,0,3061743,0000,0000,0,3266740,0000,0000,0,3444165,0000,0000,0,3893888,0000,0000,0,4040587,0000,0000,0,4447100,0000,0000,0,4779736,0000,0000,0,3444354,0000,0000
"Autauga, AL",01001,0,19694,0000,0000,0,20977,0000,0000,0,18186,0000,0000,0,18739,0000,0000,0,24460,0000,0000,0,32259,0000,0000,0,34222,0000,0000,0,43671,0000,0000,0,54571,0000,0000,0,24460,0000,0000
"Baldwin, AL",01003,0,28289,0000,0000,0,32324,0000,0000,0,40997,0000,0000,0,49088,0000,0000,0,59382,0000,0000,0,78556,0000,0000,0,98280,0000,0000,0,140415,0000,0000,0,182265,0000,0000,0,59382,0000,0000
"Barbour, AL",01005,0,32425,0000,0000,0,32722,0000,0000,0,28892,0000,0000,0,24700,0000,0000,0,22543,0000,0000,0,24756,0000,0000,0,25417,0000,0000,0,29038,0000,0000,0,27457,0000,0000,0,22543,0000,0000
"Bibb, AL",01007,0,20780,0000,0000,0,20155,0000,0000,0,17987,0000,0000,0,14357,0000,0000,0,13812,0000,0000,0,15723,0000,0000,0,16576,0000,0000,0,20826,0000,0000,0,22915,0000,0000,0,13812,0000,0000
"Blount, AL",01009,0,28020,0000,0000,0,29490,0000,0000,0,28975,0000,0000,0,25449,0000,0000,0,26853,0000,0000,0,36459,0000,0000,0,39248,0000,0000,0,51024,0000,0000,0,57322,0000,0000,0,26853,0000,0000
"Bullock, AL",01011,0,20016,0000,0000,0,19810,0000,0000,0,16054,0000,0000,0,13462,0000,0000,0,11824,0000,0000,0,10596,0000,0000,0,11042,0000,0000,0,11714,0000,0000,0,10914,0000,0000,0,11824,0000,0000
"Butler, AL",01013,0,30195,0000,0000,0,32447,0000,0000,0,29228,0000,0000,0,24560,0000,0000,0,22007,0000,0000,0,21680,0000,0000,0,21892,0000,0000,0,21399,0000,0000,0,20947,0000,0000,0,22007,0000,0000
"Calhoun, AL",01015,0,55611,0000,0000,0,63319,0000,0000,0,79539,0000,0000,0,95878,0000,0000,0,103092,0000,0000,0,119761,0000,0000,0,116034,0000,0000,0,112249,0000,0000,0,118572,0000,0000,0,103092,0000,0000
